date,customer_id,product,price,quantity,coupon_code,shipping_city
2025-12-10,C1024,Smartphone,675.52,5,FREESHIP,Hamilton
2025-07-23,C1038,Running Shoes,125.5,3,SAVE20,Toronto
2025-03-16,C1117,Laptop,924.75,2,NONE,Mississauga
2026-01-29,C1127,Running Shoes,129.28,5,SAVE20,Mississauga
2025-01-06,C1028,Headphones,79.55,2,FREESHIP,Mississauga
2026-06-15,C1119,Headphones,73.9,0,FREESHIP,Toronto
2026-04-13,C1035,Coffee Maker,93.83,2,SAVE10,Brampton
2025-11-21,C1114,Running Shoes,126.25,5,WELCOME10,Mississauga
2026-05-02,C1116,Coffee Maker,91.09,4,SAVE20,Ottawa
2026-05-12,C1062,Headphones,84.32,3,WELCOME10,Ottawa
2025-10-20,C1061,Desk Lamp,39.94,1,FREESHIP,Ottawa
2025-03-24,C1036,USB Cable,15.06,3,WELCOME10,Kitchener
2025-06-06,C1055,Headphones,78.83,4,FREESHIP,Waterloo
2026-07-10,C1120,Backpack,45.25,4,SAVE15,Mississauga
2026-02-03,C1150,Laptop,829.41,2,NONE,Toronto
2025-01-07,C1091,Water Bottle,22.65,4,NONE,Ottawa
2026-07-14,C1057,Backpack,51.35,4,WELCOME10,Brampton
2026-05-13,C1008,Headphones,77.02,3,NONE,Mississauga
2025-06-19,C1120,USB Cable,15.02,4,FREESHIP,Kitchener
2026-02-08,C1145,Water Bottle,27.03,5,SAVE10,Toronto
not_a_date,C1047,Wireless Mouse,28.49,4,SAVE20,Toronto
2025-08-05,C1117,Smartphone,687.44,4,SAVE15,London
2026-03-08,C1065,USB Cable,15.76,4,SAVE15,Waterloo
2026-07-07,C1014,Desk Lamp,37.82,1,FREESHIP,London
2025-02-11,C1008,Headphones,73.22,1,FREESHIP,Hamilton
2025-06-06,C1062,Headphones,76.63,1,WELCOME10,Kitchener
2025-08-12,C1120,Desk Lamp,37.28,1,WELCOME10,Ottawa
2025-04-28,C1042,USB Cable,16.28,2,WELCOME10,Ottawa
2025-11-16,C1148,Wireless Mouse,31.84,5,SAVE10,Mississauga
2026-08-30,C1063,Backpack,51.32,2,SAVE10,Waterloo
2025-05-04,C1145,Hoodie,59.08,3,FREESHIP,Toronto
2026-01-15,C1018,USB Cable,15.9,5,NONE,London
2025-04-19,C1111,Laptop,843.57,4,NONE,London
2025-06-06,C1112,Running Shoes,129.41,4,FREESHIP,Kitchener
2025-10-04,C1138,Hoodie,55.42,5,FREESHIP,Brampton
2026-08-30,,Desk Lamp,42.45,4,FREESHIP,London
2026-04-07,C1063,Headphones,86.33,1,SAVE15,Brampton
2026-01-24,C1087,Water Bottle,24.08,5,FREESHIP,Toronto
2026-05-15,C1055,Desk Lamp,36.87,3,SAVE20,London
2025-10-10,C1143,Smartphone,661.9,3,SAVE15,Toronto
2025-09-05,C1105,Coffee Maker,88.68,2,SAVE10,Brampton
2026-05-03,C1126,Coffee Maker,95.71,2,FREESHIP,Brampton
2025-08-15,C1104,Laptop,964.92,1,SAVE15,Hamilton
2026-04-30,C1142,Smartphone,630.96,5,SAVE15,London
2025-12-27,C1117,Backpack,50.1,5,SAVE15,Ottawa
2025-05-04,C1050,Smartphone,688.43,3,SAVE20,London
2025-07-09,C1050,Wireless Mouse,28.32,5,FREESHIP,Hamilton
2026-08-27,C1135,Hoodie,50.81,4,SAVE15,Ottawa
2025-08-21,C1093,Wireless Mouse,29.02,2,SAVE15,Kitchener
2026-07-01,C1033,Smartphone,762.0,1,FREESHIP,Ottawa
2025-10-27,C1033,Laptop,868.17,1,WELCOME10,Brampton
2025-10-19,C1121,Wireless Mouse,30.1,1,WELCOME10,Brampton
2025-02-22,C1065,Desk Lamp,41.61,3,SAVE20,Brampton
2026-05-19,C1019,Wireless Mouse,29.17,1,NONE,Toronto
2025-11-08,C1022,Keyboard,65.65,2,WELCOME10,Hamilton
2025-08-20,C1134,Wireless Mouse,32.76,5,NONE,Mississauga
2026-08-26,C1110,Desk Lamp,38.0,4,SAVE15,Ottawa
2025-04-12,C1054,Water Bottle,24.98,5,SAVE10,Hamilton
2025-09-03,C1045,Smartphone,672.11,1,SAVE20,Waterloo
2026-04-07,C1121,Keyboard,57.41,1,NONE,Ottawa
2025-10-17,C1117,Laptop,816.63,2,SAVE15,Waterloo
2026-08-27,C1051,Running Shoes,122.62,2,SAVE15,Mississauga
2025-06-02,C1069,Wireless Mouse,30.01,5,SAVE20,Kitchener
2025-11-11,C1146,Wireless Mouse,27.3,1,SAVE20,Ottawa
2025-11-08,C1104,Desk Lamp,38.22,1,NONE,Ottawa
2026-03-25,C1021,Coffee Maker,97.34,5,NONE,
2025-09-14,C1007,Backpack,47.39,3,WELCOME10,Waterloo
2025-01-22,C1069,Headphones,74.31,5,WELCOME10,Toronto
2026-03-29,C1072,Keyboard,59.86,4,WELCOME10,Kitchener
2026-05-19,C1024,Water Bottle,27.42,4,FREESHIP,Brampton
2025-11-25,C1027,USB Cable,14.22,4,SAVE15,Kitchener
2026-05-23,C1074,USB Cable,15.51,4,FREESHIP,Mississauga
2025-04-01,C1081,Coffee Maker,94.7,1,NONE,Ottawa
2026-06-11,C1001,USB Cable,14.2,1,NONE,Brampton
2026-06-15,C1093,Backpack,52.27,1,SAVE20,Brampton
2025-07-28,C1069,Running Shoes,116.82,4,SAVE10,Kitchener
2026-05-12,C1032,Smartphone,718.51,4,FREESHIP,Toronto
2025-06-12,C1080,Running Shoes,123.19,5,SAVE20,Toronto
2025-08-19,C1030,Coffee Maker,90.63,4,SAVE10,Brampton
2025-10-26,C1131,Wireless Mouse,27.53,2,NONE,Ottawa
2025-09-07,C1117,Backpack,53.34,4,NONE,Kitchener
2026-06-05,C1035,Backpack,48.2,2,WELCOME10,Waterloo
2026-06-04,C1069,Smartphone,656.1,4,SAVE15,Toronto
2026-08-17,C1126,Smartphone,635.7,3,WELCOME10,Kitchener
2025-12-20,C1086,Desk Lamp,40.72,5,NONE,Mississauga
2025-09-02,C1147,Desk Lamp,41.41,3,SAVE20,Mississauga
2025-11-22,C1122,Headphones,72.26,4,SAVE10,Mississauga
2025-02-07,C1033,Backpack,50.11,2,NONE,London
2026-06-23,C1117,Wireless Mouse,28.35,4,SAVE10,Toronto
2025-06-08,C1020,Hoodie,56.59,2,NONE,Brampton
2026-02-12,C1021,Smartphone,,3,WELCOME10,London
2025-11-21,C1125,Running Shoes,124.57,5,NONE,Toronto
2025-10-22,C1059,Water Bottle,24.42,1,SAVE20,Waterloo
2025-04-13,C1114,Backpack,54.36,1,FREESHIP,Kitchener
2025-02-17,C1084,Hoodie,51.0,3,SAVE10,Toronto
2026-03-18,C1038,Smartphone,677.74,3,SAVE15,Hamilton
2025-07-04,C1044,Coffee Maker,83.03,4,WELCOME10,Kitchener
2025-09-04,C1128,Wireless Mouse,32.54,5,NONE,Kitchener
2025-09-18,C1118,Headphones,86.03,4,FREESHIP,Ottawa
2025-10-22,C1140,Running Shoes,114.18,1,NONE,Kitchener
2026-08-25,C1077,Wireless Mouse,30.95,4,SAVE15,Mississauga
2025-11-06,C1051,Hoodie,58.48,3,NONE,Mississauga
2026-01-26,C1147,Desk Lamp,40.43,1,SAVE20,London
2025-10-30,C1006,Water Bottle,25.14,3,FREESHIP,Mississauga
2025-02-20,C1128,Smartphone,663.85,1,WELCOME10,Ottawa
2025-08-13,C1049,Headphones,73.48,5,SAVE15,Ottawa
2025-04-10,C1011,Running Shoes,129.52,2,FREESHIP,Ottawa
2026-01-09,C1034,Desk Lamp,43.19,1,WELCOME10,Waterloo
2026-03-02,C1045,Smartphone,718.62,3,FREESHIP,Hamilton
2026-06-28,C1129,Keyboard,58.06,5,SAVE15,Ottawa
2025-10-30,C1087,Keyboard,58.18,3,NONE,Waterloo
2025-08-20,C1102,Desk Lamp,41.8,1,SAVE20,London
2025-09-28,C1138,Wireless Mouse,32.37,4,SAVE10,Waterloo
2025-09-26,C1150,Desk Lamp,43.09,3,FREESHIP,Mississauga
2025-08-28,C1121,Running Shoes,126.71,3,SAVE10,Toronto
2025-08-15,C1017,Water Bottle,25.7,5,SAVE15,Brampton
2026-02-23,C1030,Hoodie,50.42,3,FREESHIP,Kitchener
2026-05-20,C1030,Laptop,839.08,1,SAVE15,Waterloo
2026-02-02,C1117,Headphones,86.37,5,SAVE20,London
2026-08-25,C1040,Running Shoes,122.54,5,NONE,Mississauga
2026-02-22,C1072,Running Shoes,108.21,1,NONE,Toronto
2026-03-31,C1114,Hoodie,50.61,3,SAVE20,Hamilton
2026-01-12,C1140,USB Cable,15.48,1,FREESHIP,London
2025-07-14,C1032,Laptop,810.9,4,SAVE15,Brampton
2025-01-22,C1013,Wireless Mouse,27.96,2,FREESHIP,London
2025-07-30,C1018,Headphones,80.77,2,WELCOME10,Hamilton
2025-12-03,C1038,Water Bottle,25.95,2,SAVE20,Toronto
2026-07-08,C1065,Smartphone,721.26,2,SAVE20,Kitchener
2025-01-16,C1092,Wireless Mouse,28.34,1,SAVE20,Hamilton
2025-06-28,C1068,Water Bottle,26.05,3,SAVE10,Toronto
2025-04-27,C1017,Keyboard,56.84,4,WELCOME10,Brampton
2026-08-31,C1028,Desk Lamp,38.59,3,WELCOME10,Brampton
2025-02-14,C1134,Coffee Maker,94.43,2,WELCOME10,Ottawa
2026-05-06,C1103,Desk Lamp,41.19,1,SAVE10,Mississauga
2026-03-31,C1019,Running Shoes,128.37,1,NONE,Waterloo
2025-03-09,C1033,USB Cable,15.46,5,SAVE20,Ottawa
2025-11-29,C1098,Water Bottle,25.33,5,WELCOME10,Ottawa
2026-03-17,C1026,Desk Lamp,36.74,5,WELCOME10,Waterloo
2025-08-09,C1111,Running Shoes,116.82,5,FREESHIP,Brampton
2026-04-10,C1103,Headphones,76.23,4,SAVE15,Mississauga
2026-03-14,C1081,Hoodie,52.17,1,SAVE15,Ottawa
2026-05-01,C1018,USB Cable,16.41,2,FREESHIP,Waterloo
2025-04-09,C1096,Wireless Mouse,29.35,1,NONE,Kitchener
2026-07-30,C1144,Coffee Maker,97.05,1,WELCOME10,London
2025-12-29,C1109,Running Shoes,123.14,1,NONE,Toronto
2025-12-27,C1027,Smartphone,741.26,5,SAVE15,Hamilton
2025-04-21,C1090,Keyboard,60.02,4,SAVE20,London
2025-08-20,C1110,Wireless Mouse,30.45,3,WELCOME10,Toronto
2025-07-04,C1070,Water Bottle,24.95,3,SAVE10,Ottawa
2025-07-05,C1037,USB Cable,14.08,3,SAVE10,Mississauga
2025-02-01,C1024,Wireless Mouse,31.32,2,FREESHIP,Hamilton
2025-12-16,C1041,Backpack,47.8,4,NONE,London
2025-03-28,C1014,Smartphone,633.4,3,WELCOME10,Kitchener
2025-03-25,C1070,Keyboard,61.74,5,SAVE10,Brampton
2026-03-29,C1107,Running Shoes,112.24,4,NONE,Ottawa
2025-12-20,C1111,Headphones,87.04,5,SAVE10,Waterloo
2026-06-24,C1079,Smartphone,763.54,5,NONE,Toronto
2025-02-26,C1002,Headphones,86.63,4,WELCOME10,Hamilton
2025-09-19,C1075,Smartphone,681.81,2,SAVE20,London
2026-03-17,C1045,Wireless Mouse,27.08,1,NONE,Kitchener
2025-08-24,C1129,Backpack,54.27,5,FREESHIP,London
2025-02-13,C1112,Wireless Mouse,29.56,4,FREESHIP,Toronto
2026-08-13,C1110,Desk Lamp,43.72,1,SAVE15,Mississauga
2025-04-28,C1104,Hoodie,60.09,4,SAVE15,Toronto
2026-04-17,C1093,USB Cable,16.05,2,WELCOME10,Waterloo
2026-03-23,C1103,Backpack,47.93,1,SAVE20,Waterloo
2025-12-14,C1057,Backpack,48.84,3,FREESHIP,London
2025-04-27,C1136,Keyboard,64.2,1,WELCOME10,Hamilton
2025-06-01,C1061,USB Cable,14.44,3,FREESHIP,Waterloo
2025-06-27,C1040,Keyboard,56.02,3,SAVE20,Waterloo
2026-08-01,C1149,Keyboard,60.67,4,NONE,Brampton
2025-11-27,C1081,Running Shoes,130.46,5,FREESHIP,Kitchener
2026-03-29,C1078,Desk Lamp,41.56,1,NONE,Ottawa
2026-06-04,C1019,Water Bottle,25.34,1,SAVE15,Ottawa
2025-02-28,C1095,Desk Lamp,36.77,4,SAVE10,Ottawa
2026-06-04,C1099,Wireless Mouse,30.68,1,WELCOME10,Brampton
2025-02-12,C1116,Water Bottle,27.44,5,FREESHIP,Hamilton
2026-05-29,C1039,USB Cable,13.91,5,NONE,Toronto
2025-03-28,C1130,Desk Lamp,40.14,1,SAVE15,Kitchener
2026-03-25,C1113,Laptop,967.92,2,FREESHIP,Kitchener
2026-02-01,C1105,USB Cable,15.71,3,SAVE15,London
2025-12-09,C1017,Running Shoes,124.72,5,SAVE10,London
2026-01-31,C1073,Wireless Mouse,31.2,5,FREESHIP,Ottawa
2025-12-08,C1021,Hoodie,53.44,5,SAVE20,Kitchener
2026-02-06,C1034,USB Cable,14.37,3,FREESHIP,Waterloo
2025-12-03,C1033,Smartphone,743.3,5,NONE,Waterloo
2026-01-06,C1005,Running Shoes,127.43,4,WELCOME10,London
2025-12-16,C1125,Smartphone,751.38,2,SAVE20,Hamilton
2025-03-21,C1076,Headphones,86.6,2,SAVE20,Waterloo
2026-06-24,C1010,Coffee Maker,90.19,5,FREESHIP,London
2026-01-21,C1040,Water Bottle,25.0,2,WELCOME10,Kitchener
2026-03-25,C1012,Keyboard,63.57,5,SAVE20,Mississauga
2025-10-19,C1115,USB Cable,15.44,2,NONE,Hamilton
2026-04-26,C1050,Coffee Maker,93.62,2,SAVE15,London
2026-04-18,C1073,Running Shoes,127.09,5,NONE,Mississauga
2025-06-15,C1052,Coffee Maker,97.01,5,NONE,Kitchener
2026-05-08,C1096,Smartphone,677.31,1,FREESHIP,Waterloo
2025-10-19,C1022,Hoodie,53.62,5,SAVE10,Kitchener
2025-05-31,C1112,Smartphone,643.15,4,WELCOME10,Waterloo
2025-01-28,C1107,Headphones,81.24,4,SAVE15,Toronto
2025-08-30,C1099,Backpack,45.35,5,SAVE15,Waterloo
2025-11-23,C1026,USB Cable,14.89,2,SAVE10,London
2025-10-21,C1121,Keyboard,60.5,2,SAVE10,Kitchener
2025-01-06,C1021,Hoodie,52.64,4,NONE,Toronto
2026-07-16,C1136,Smartphone,712.71,2,SAVE20,Mississauga
2025-11-05,C1032,Wireless Mouse,27.17,3,SAVE20,Toronto
2026-04-14,C1017,Headphones,72.59,4,FREESHIP,Waterloo
2025-01-17,C1132,Desk Lamp,42.57,5,WELCOME10,Hamilton
2026-03-16,C1001,Hoodie,53.45,2,SAVE15,London
2025-07-11,C1022,Headphones,74.02,5,NONE,London
2026-06-04,C1130,Wireless Mouse,30.12,5,WELCOME10,Toronto
2026-02-01,C1096,Backpack,52.69,4,SAVE10,Ottawa
2025-03-11,C1089,Hoodie,51.86,1,SAVE15,Hamilton
2025-12-07,C1035,Hoodie,56.34,1,WELCOME10,Toronto
2025-06-29,C1119,USB Cable,13.75,5,SAVE15,Brampton
2025-03-06,C1118,Running Shoes,109.23,2,SAVE20,Toronto
2025-07-24,C1011,Smartphone,704.38,2,SAVE10,London
2026-07-11,C1122,Smartphone,705.68,5,NONE,Ottawa
2026-01-01,C1013,Laptop,924.73,2,SAVE15,London
2026-03-24,C1103,Smartphone,731.64,1,SAVE15,Brampton
2026-05-24,C1128,Backpack,54.75,3,SAVE20,London
2026-03-11,C1021,Coffee Maker,90.28,3,SAVE10,Mississauga
2025-10-28,C1083,Water Bottle,24.11,2,WELCOME10,Waterloo
2025-10-30,C1079,Wireless Mouse,31.76,3,FREESHIP,Brampton
2026-03-31,C1090,Water Bottle,23.84,4,SAVE20,Brampton
2026-03-22,C1071,Laptop,889.0,3,WELCOME10,Toronto
2026-06-10,C1041,Wireless Mouse,27.46,4,SAVE15,Toronto
2026-03-25,C1009,Keyboard,54.3,5,FREESHIP,Kitchener
2026-01-11,C1093,Wireless Mouse,32.76,2,FREESHIP,Mississauga
2025-06-07,C1116,Water Bottle,26.67,1,WELCOME10,London
2026-08-11,C1036,USB Cable,15.58,4,SAVE10,London
2025-10-13,C1064,Backpack,49.08,3,FREESHIP,Waterloo
2026-06-15,C1100,Laptop,841.18,2,NONE,Waterloo
2026-04-02,C1055,Smartphone,651.89,3,FREESHIP,Ottawa
2025-05-06,C1035,Hoodie,52.24,4,SAVE20,Waterloo
2026-04-01,C1023,Desk Lamp,40.38,2,FREESHIP,London
2025-03-08,C1141,Running Shoes,125.14,3,FREESHIP,Ottawa
2025-06-28,C1093,Smartphone,722.42,2,FREESHIP,Hamilton
2025-08-31,C1127,Wireless Mouse,28.67,2,SAVE20,Toronto
2026-01-13,C1120,USB Cable,16.35,5,WELCOME10,Kitchener
2025-11-13,C1102,Water Bottle,26.18,1,SAVE10,Brampton
2026-08-12,C1019,Coffee Maker,90.97,4,NONE,Kitchener
2026-04-23,C1133,USB Cable,15.32,1,NONE,London
2026-08-25,C1047,Keyboard,59.03,5,FREESHIP,Kitchener
2025-05-08,C1133,Backpack,47.47,5,SAVE10,Kitchener
2025-11-27,C1058,Smartphone,679.83,2,SAVE20,London
2025-09-14,C1051,Coffee Maker,94.63,3,SAVE10,Ottawa
2026-07-01,C1024,Keyboard,54.16,3,WELCOME10,Kitchener
2025-06-25,C1087,Water Bottle,23.07,5,SAVE20,Toronto
2026-08-14,C1068,Laptop,818.27,1,SAVE10,Hamilton
2025-02-01,C1128,Water Bottle,22.69,4,WELCOME10,Ottawa
2025-09-08,C1104,Running Shoes,128.52,3,NONE,Ottawa
2025-03-03,C1041,Desk Lamp,41.62,1,FREESHIP,Brampton
2025-07-28,C1088,Backpack,49.73,4,NONE,Kitchener
2025-12-20,C1103,USB Cable,13.78,3,FREESHIP,Kitchener
2025-04-19,C1082,USB Cable,14.96,5,WELCOME10,Hamilton
2026-04-06,C1064,Desk Lamp,39.78,1,SAVE15,Kitchener
2026-01-29,C1108,Wireless Mouse,28.03,1,SAVE15,Hamilton
2025-11-17,C1049,Keyboard,59.2,3,WELCOME10,Kitchener
2026-05-26,C1079,Desk Lamp,39.18,5,NONE,Brampton
2026-06-02,C1118,Laptop,920.84,1,NONE,Hamilton
2025-02-19,C1013,Headphones,82.15,5,SAVE15,Ottawa
2026-04-27,C1074,Desk Lamp,36.35,5,FREESHIP,Toronto
2025-09-28,C1094,Wireless Mouse,29.24,4,SAVE20,Mississauga
2025-02-22,C1146,USB Cable,15.37,1,NONE,Hamilton
2025-03-17,C1099,USB Cable,15.0,5,SAVE15,Brampton
2025-05-02,C1033,Coffee Maker,96.41,3,WELCOME10,Waterloo
2026-07-26,C1094,Backpack,51.58,3,SAVE15,Kitchener
2026-02-16,C1129,Headphones,74.6,5,WELCOME10,Toronto
2025-12-08,C1122,Laptop,822.69,1,SAVE20,Brampton
2025-05-24,C1084,Keyboard,61.7,5,WELCOME10,London
2025-11-03,C1087,Keyboard,54.31,4,WELCOME10,Brampton
2026-05-02,C1005,Hoodie,55.93,5,SAVE15,London
2026-08-21,C1079,USB Cable,16.31,1,NONE,Toronto
2026-08-16,C1148,Water Bottle,25.37,4,SAVE15,Hamilton
2026-05-07,C1044,Hoodie,53.76,1,WELCOME10,Mississauga
2026-08-10,C1029,Keyboard,61.71,2,SAVE10,Hamilton
2026-03-05,C1039,Laptop,892.48,4,SAVE15,Mississauga
2026-05-29,C1121,Hoodie,55.49,2,NONE,Toronto
2025-08-01,C1144,Hoodie,59.85,2,WELCOME10,London
2026-01-21,C1081,Running Shoes,117.26,4,WELCOME10,Kitchener
2026-07-14,C1091,Desk Lamp,43.68,5,SAVE15,Ottawa
2025-09-10,C1072,Water Bottle,27.02,4,SAVE20,Ottawa
2025-08-01,C1126,Headphones,75.12,3,SAVE15,London
2025-10-08,C1074,Desk Lamp,36.55,3,WELCOME10,Waterloo
2026-02-09,C1089,Water Bottle,22.99,5,NONE,Kitchener
2025-03-22,C1089,Smartphone,632.54,1,SAVE15,Brampton
2026-05-06,C1055,Running Shoes,110.26,3,FREESHIP,Hamilton
2025-10-06,C1036,Coffee Maker,93.28,3,WELCOME10,Waterloo
2025-09-06,C1013,Water Bottle,22.85,5,SAVE20,Hamilton
2025-04-13,C1106,Running Shoes,115.65,2,SAVE10,London
2025-05-21,C1002,Hoodie,58.78,4,SAVE10,Kitchener
2025-07-24,C1074,Backpack,45.22,4,NONE,London
2026-08-11,C1060,Smartphone,744.01,1,SAVE10,Toronto
2025-02-07,C1102,Keyboard,57.37,4,SAVE20,Brampton
2025-01-10,C1077,Keyboard,55.41,3,SAVE10,Waterloo
2026-07-11,C1135,USB Cable,15.58,3,NONE,Brampton
2025-10-07,C1050,Keyboard,61.54,5,NONE,Waterloo
2026-04-15,C1066,USB Cable,16.12,2,FREESHIP,Kitchener
2026-08-05,C1050,Laptop,942.3,3,SAVE15,Kitchener
2026-06-12,C1084,Water Bottle,26.51,4,NONE,Waterloo
2025-05-24,C1123,Backpack,47.81,1,SAVE20,London
2026-01-28,C1061,Headphones,74.83,1,SAVE15,Brampton
2026-08-20,C1147,Smartphone,735.08,3,SAVE15,Toronto
2025-08-30,C1016,Smartphone,742.95,3,FREESHIP,Waterloo
2026-02-20,C1129,Desk Lamp,43.91,3,SAVE20,Ottawa
2025-10-30,C1095,Hoodie,54.03,1,FREESHIP,Hamilton
2025-06-06,C1117,Headphones,77.94,2,NONE,London
2026-07-05,C1056,Backpack,52.75,5,NONE,Hamilton
2026-06-23,C1115,Running Shoes,116.17,5,SAVE10,London
2025-03-05,C1141,Wireless Mouse,32.57,5,SAVE10,Hamilton
2025-06-18,C1084,Water Bottle,26.78,5,SAVE20,Brampton
2026-08-21,C1126,Wireless Mouse,29.56,2,FREESHIP,Waterloo
2026-04-10,C1034,Coffee Maker,94.51,4,SAVE10,Mississauga
2026-07-27,C1119,Desk Lamp,42.03,5,SAVE10,Ottawa
