date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,gross_total,discount_amount,net_revenue,days_since_purchase,municipality_name,municipal_status,municipal_structure
2025-06-06,C1041,Wireless Mouse,28.74,1.0,SAVE10,Mississauga,10,28.74,2.874,25.866,451,Mississauga,City,Lower-tier
2026-01-26,C1120,Water Bottle,25.55,1.0,NONE,Ottawa,0,25.55,0.0,25.55,217,Ottawa,City,Single-tier
2025-04-28,C1138,Coffee Maker,83.5,1.0,FREESHIP,Ottawa,0,83.5,0.0,83.5,490,Ottawa,City,Single-tier
2025-10-28,C1112,Running Shoes,115.0,3.0,SAVE10,Kitchener,10,345.0,34.5,310.5,307,Kitchener,City,Lower-tier
2025-09-27,C1129,Desk Lamp,38.92,1.0,FREESHIP,Kitchener,0,38.92,0.0,38.92,338,Kitchener,City,Lower-tier
2025-11-02,C1130,Coffee Maker,89.2,1.0,FREESHIP,Hamilton,0,89.2,0.0,89.2,302,Hamilton,City,Single-tier
2026-07-07,C1136,Keyboard,63.41,3.0,SAVE20,Toronto,20,190.23,38.046,152.184,55,Toronto,City,Single-tier
2025-01-20,C1029,Water Bottle,23.49,3.0,NONE,London,0,70.47,0.0,70.47,588,London,City,Single-tier
2025-09-04,C1146,Smartphone,701.98,2.0,SAVE10,Waterloo,10,1403.96,140.39600000000002,1263.564,361,Waterloo,City,Lower-tier
2026-06-30,C1033,Wireless Mouse,30.54,4.0,SAVE10,Kitchener,10,122.16,12.216000000000001,109.94399999999999,62,Kitchener,City,Lower-tier
2025-06-19,C1068,Running Shoes,109.11,4.0,WELCOME10,Mississauga,10,436.44,43.644000000000005,392.796,438,Mississauga,City,Lower-tier
2025-07-25,C1080,Headphones,81.71,5.0,FREESHIP,Mississauga,0,408.54999999999995,0.0,408.54999999999995,402,Mississauga,City,Lower-tier
2026-06-14,C1116,Running Shoes,112.08,3.0,NONE,Waterloo,0,336.24,0.0,336.24,78,Waterloo,City,Lower-tier
2025-12-13,C1006,Headphones,73.03,2.0,SAVE10,Hamilton,10,146.06,14.606000000000002,131.454,261,Hamilton,City,Single-tier
2025-03-14,C1016,Water Bottle,27.23,2.0,SAVE10,Hamilton,10,54.46,5.446000000000001,49.014,535,Hamilton,City,Single-tier
2025-03-14,C1132,Wireless Mouse,32.78,1.0,SAVE15,Hamilton,15,32.78,4.917,27.863,535,Hamilton,City,Single-tier
2026-07-07,C1034,Smartphone,743.17,4.0,SAVE20,Brampton,20,2972.68,594.536,2378.144,55,Brampton,City,Lower-tier
2025-07-14,C1025,Headphones,76.86,4.0,NONE,Waterloo,0,307.44,0.0,307.44,413,Waterloo,City,Lower-tier
2026-03-10,C1106,Running Shoes,110.33,4.0,SAVE15,Brampton,15,441.32,66.198,375.122,174,Brampton,City,Lower-tier
2025-04-11,C1016,Hoodie,57.02,1.0,FREESHIP,Mississauga,0,57.02,0.0,57.02,507,Mississauga,City,Lower-tier
2025-09-12,C1050,Hoodie,54.33,3.0,SAVE10,Hamilton,10,162.99,16.299000000000003,146.691,353,Hamilton,City,Single-tier
2026-03-09,C1047,Laptop,83.19,4.0,SAVE20,Ottawa,20,332.76,66.552,266.20799999999997,175,Ottawa,City,Single-tier
2026-03-30,C1141,Desk Lamp,39.95,2.0,SAVE10,Waterloo,10,79.9,7.990000000000001,71.91000000000001,154,Waterloo,City,Lower-tier
2025-04-06,C1061,Laptop,816.18,5.0,SAVE10,Kitchener,10,4080.8999999999996,408.09,3672.8099999999995,512,Kitchener,City,Lower-tier
2025-08-07,C1103,Backpack,54.08,4.0,NONE,Toronto,0,216.32,0.0,216.32,389,Toronto,City,Single-tier
2026-02-04,C1068,Keyboard,57.1,4.0,SAVE10,Brampton,10,228.4,22.840000000000003,205.56,208,Brampton,City,Lower-tier
2026-07-24,C1125,Smartphone,722.74,4.0,FREESHIP,Kitchener,0,2890.96,0.0,2890.96,38,Kitchener,City,Lower-tier
2025-03-01,C1149,Headphones,76.98,3.0,SAVE20,Toronto,20,230.94,46.188,184.752,548,Toronto,City,Single-tier
2025-02-21,C1150,Hoodie,55.21,3.0,SAVE10,Brampton,10,165.63,16.563,149.067,556,Brampton,City,Lower-tier
2025-02-28,C1131,Coffee Maker,90.83,5.0,SAVE20,Waterloo,20,454.15,90.83,363.32,549,Waterloo,City,Lower-tier
2025-03-11,C1061,Keyboard,56.21,1.0,WELCOME10,Mississauga,10,56.21,5.621,50.589,538,Mississauga,City,Lower-tier
2026-08-16,C1011,Wireless Mouse,32.81,5.0,SAVE20,Waterloo,20,164.05,32.81,131.24,15,Waterloo,City,Lower-tier
2026-06-20,C1081,Backpack,52.74,5.0,WELCOME10,Ottawa,10,263.7,26.37,237.32999999999998,72,Ottawa,City,Single-tier
2025-09-29,C1102,Headphones,87.02,3.0,SAVE20,Kitchener,20,261.06,52.212,208.848,336,Kitchener,City,Lower-tier
2025-11-20,C1019,Running Shoes,129.47,3.0,NONE,Toronto,0,388.40999999999997,0.0,388.40999999999997,284,Toronto,City,Single-tier
2025-04-13,C1019,Desk Lamp,40.77,5.0,WELCOME10,Hamilton,10,203.85000000000002,20.385000000000005,183.46500000000003,505,Hamilton,City,Single-tier
2025-12-24,C1018,Coffee Maker,97.58,3.0,NONE,Hamilton,0,292.74,0.0,292.74,250,Hamilton,City,Single-tier
2026-03-25,C1140,USB Cable,13.76,3.0,SAVE20,Ottawa,20,41.28,8.256,33.024,159,Ottawa,City,Single-tier
2026-07-22,C1077,Water Bottle,23.47,5.0,SAVE10,Waterloo,10,117.35,11.735,105.615,40,Waterloo,City,Lower-tier
2025-04-20,C1142,Keyboard,54.53,3.0,SAVE10,Kitchener,10,163.59,16.359,147.231,498,Kitchener,City,Lower-tier
2025-08-04,C1088,Smartphone,675.54,3.0,WELCOME10,Hamilton,10,2026.62,202.662,1823.9579999999999,392,Hamilton,City,Single-tier
2026-05-16,C1065,Running Shoes,117.32,3.0,WELCOME10,Toronto,10,351.96,35.196,316.764,107,Toronto,City,Single-tier
2025-02-15,C1001,Wireless Mouse,28.62,4.0,SAVE15,London,15,114.48,17.172,97.308,562,London,City,Single-tier
2026-03-29,C1142,Keyboard,63.93,3.0,SAVE20,Mississauga,20,191.79,38.358,153.432,155,Mississauga,City,Lower-tier
2025-03-19,C1039,Coffee Maker,87.41,1.0,SAVE10,Toronto,10,87.41,8.741,78.669,530,Toronto,City,Single-tier
2025-06-01,C1111,USB Cable,14.33,5.0,WELCOME10,Kitchener,10,71.65,7.165000000000001,64.485,456,Kitchener,City,Lower-tier
2025-02-10,C1092,Laptop,907.68,3.0,SAVE15,Hamilton,15,2723.04,408.45599999999996,2314.584,567,Hamilton,City,Single-tier
2025-04-16,C1091,Running Shoes,111.37,2.0,FREESHIP,Mississauga,0,222.74,0.0,222.74,502,Mississauga,City,Lower-tier
2025-06-16,C1046,Water Bottle,26.5,2.0,SAVE20,Mississauga,20,53.0,10.600000000000001,42.4,441,Mississauga,City,Lower-tier
2025-12-07,C1106,Laptop,823.41,2.0,FREESHIP,Hamilton,0,1646.82,0.0,1646.82,267,Hamilton,City,Single-tier
2025-04-21,C1098,Smartphone,768.15,2.0,FREESHIP,Toronto,0,1536.3,0.0,1536.3,497,Toronto,City,Single-tier
2026-04-17,C1090,Desk Lamp,42.17,2.0,SAVE20,Ottawa,20,84.34,16.868000000000002,67.47200000000001,136,Ottawa,City,Single-tier
2025-07-17,C1103,Headphones,75.17,2.0,SAVE10,London,10,150.34,15.034,135.306,410,London,City,Single-tier
2025-12-26,C1131,Smartphone,630.76,1.0,SAVE15,Mississauga,15,630.76,94.61399999999999,536.146,248,Mississauga,City,Lower-tier
2025-01-29,C1030,Running Shoes,127.56,5.0,SAVE15,Ottawa,15,637.8,95.66999999999999,542.13,579,Ottawa,City,Single-tier
2025-02-09,C1028,Keyboard,62.47,5.0,SAVE15,Mississauga,15,312.35,46.8525,265.4975,568,Mississauga,City,Lower-tier
2025-02-15,C1112,Water Bottle,26.35,2.0,SAVE15,Toronto,15,52.7,7.905,44.795,562,Toronto,City,Single-tier
2025-07-21,C1094,Coffee Maker,82.32,5.0,FREESHIP,Mississauga,0,411.59999999999997,0.0,411.59999999999997,406,Mississauga,City,Lower-tier
2025-11-18,C1032,Wireless Mouse,29.14,3.0,WELCOME10,Ottawa,10,87.42,8.742,78.678,286,Ottawa,City,Single-tier
2026-02-23,C1084,Coffee Maker,83.08,3.0,FREESHIP,Mississauga,0,249.24,0.0,249.24,189,Mississauga,City,Lower-tier
2025-05-11,C1050,Hoodie,58.98,3.0,WELCOME10,Mississauga,10,176.94,17.694,159.246,477,Mississauga,City,Lower-tier
2025-06-28,C1146,Running Shoes,122.95,4.0,FREESHIP,Ottawa,0,491.8,0.0,491.8,429,Ottawa,City,Single-tier
2025-11-08,C1074,Backpack,48.3,5.0,SAVE10,Hamilton,10,241.5,24.150000000000002,217.35,296,Hamilton,City,Single-tier
2025-11-26,C1120,Backpack,45.63,5.0,WELCOME10,Brampton,10,228.15,22.815,205.335,278,Brampton,City,Lower-tier
2026-04-30,C1044,Desk Lamp,38.48,2.0,WELCOME10,Waterloo,10,76.96,7.696,69.264,123,Waterloo,City,Lower-tier
2025-12-10,C1024,Smartphone,675.52,5.0,FREESHIP,Hamilton,0,3377.6,0.0,3377.6,264,Hamilton,City,Single-tier
2025-07-23,C1038,Running Shoes,125.5,3.0,SAVE20,Toronto,20,376.5,75.3,301.2,404,Toronto,City,Single-tier
2025-03-16,C1117,Laptop,924.75,2.0,NONE,Mississauga,0,1849.5,0.0,1849.5,533,Mississauga,City,Lower-tier
2026-01-29,C1127,Running Shoes,129.28,5.0,SAVE20,Mississauga,20,646.4,129.28,517.12,214,Mississauga,City,Lower-tier
2025-01-06,C1028,Headphones,79.55,2.0,FREESHIP,Mississauga,0,159.1,0.0,159.1,602,Mississauga,City,Lower-tier
2026-04-13,C1035,Coffee Maker,93.83,2.0,SAVE10,Brampton,10,187.66,18.766000000000002,168.894,140,Brampton,City,Lower-tier
2025-11-21,C1114,Running Shoes,126.25,5.0,WELCOME10,Mississauga,10,631.25,63.125,568.125,283,Mississauga,City,Lower-tier
2026-05-02,C1116,Coffee Maker,91.09,4.0,SAVE20,Ottawa,20,364.36,72.872,291.488,121,Ottawa,City,Single-tier
2026-05-12,C1062,Headphones,84.32,3.0,WELCOME10,Ottawa,10,252.95999999999998,25.296,227.664,111,Ottawa,City,Single-tier
2025-10-20,C1061,Desk Lamp,39.94,1.0,FREESHIP,Ottawa,0,39.94,0.0,39.94,315,Ottawa,City,Single-tier
2025-03-24,C1036,USB Cable,15.06,3.0,WELCOME10,Kitchener,10,45.18,4.518,40.662,525,Kitchener,City,Lower-tier
2025-06-06,C1055,Headphones,78.83,4.0,FREESHIP,Waterloo,0,315.32,0.0,315.32,451,Waterloo,City,Lower-tier
2026-07-10,C1120,Backpack,45.25,4.0,SAVE15,Mississauga,15,181.0,27.15,153.85,52,Mississauga,City,Lower-tier
2026-02-03,C1150,Laptop,829.41,2.0,NONE,Toronto,0,1658.82,0.0,1658.82,209,Toronto,City,Single-tier
2025-01-07,C1091,Water Bottle,22.65,4.0,NONE,Ottawa,0,90.6,0.0,90.6,601,Ottawa,City,Single-tier
2026-07-14,C1057,Backpack,51.35,4.0,WELCOME10,Brampton,10,205.4,20.540000000000003,184.86,48,Brampton,City,Lower-tier
2026-05-13,C1008,Headphones,77.02,3.0,NONE,Mississauga,0,231.06,0.0,231.06,110,Mississauga,City,Lower-tier
2025-06-19,C1120,USB Cable,15.02,4.0,FREESHIP,Kitchener,0,60.08,0.0,60.08,438,Kitchener,City,Lower-tier
2026-02-08,C1145,Water Bottle,27.03,5.0,SAVE10,Toronto,10,135.15,13.515,121.635,204,Toronto,City,Single-tier
2025-08-05,C1117,Smartphone,687.44,4.0,SAVE15,London,15,2749.76,412.464,2337.2960000000003,391,London,City,Single-tier
2026-03-08,C1065,USB Cable,15.76,4.0,SAVE15,Waterloo,15,63.04,9.456,53.584,176,Waterloo,City,Lower-tier
2026-07-07,C1014,Desk Lamp,37.82,1.0,FREESHIP,London,0,37.82,0.0,37.82,55,London,City,Single-tier
2025-02-11,C1008,Headphones,73.22,1.0,FREESHIP,Hamilton,0,73.22,0.0,73.22,566,Hamilton,City,Single-tier
2025-06-06,C1062,Headphones,76.63,1.0,WELCOME10,Kitchener,10,76.63,7.663,68.967,451,Kitchener,City,Lower-tier
2025-08-12,C1120,Desk Lamp,37.28,1.0,WELCOME10,Ottawa,10,37.28,3.728,33.552,384,Ottawa,City,Single-tier
2025-04-28,C1042,USB Cable,16.28,2.0,WELCOME10,Ottawa,10,32.56,3.2560000000000002,29.304000000000002,490,Ottawa,City,Single-tier
2025-11-16,C1148,Wireless Mouse,31.84,5.0,SAVE10,Mississauga,10,159.2,15.92,143.28,288,Mississauga,City,Lower-tier
2026-08-30,C1063,Backpack,51.32,2.0,SAVE10,Waterloo,10,102.64,10.264000000000001,92.376,1,Waterloo,City,Lower-tier
2025-05-04,C1145,Hoodie,59.08,3.0,FREESHIP,Toronto,0,177.24,0.0,177.24,484,Toronto,City,Single-tier
2026-01-15,C1018,USB Cable,15.9,5.0,NONE,London,0,79.5,0.0,79.5,228,London,City,Single-tier
2025-04-19,C1111,Laptop,843.57,4.0,NONE,London,0,3374.28,0.0,3374.28,499,London,City,Single-tier
2025-06-06,C1112,Running Shoes,129.41,4.0,FREESHIP,Kitchener,0,517.64,0.0,517.64,451,Kitchener,City,Lower-tier
2025-10-04,C1138,Hoodie,55.42,5.0,FREESHIP,Brampton,0,277.1,0.0,277.1,331,Brampton,City,Lower-tier
2026-04-07,C1063,Headphones,86.33,1.0,SAVE15,Brampton,15,86.33,12.949499999999999,73.3805,146,Brampton,City,Lower-tier
2026-01-24,C1087,Water Bottle,24.08,5.0,FREESHIP,Toronto,0,120.39999999999999,0.0,120.39999999999999,219,Toronto,City,Single-tier
2026-05-15,C1055,Desk Lamp,36.87,3.0,SAVE20,London,20,110.60999999999999,22.122,88.48799999999999,108,London,City,Single-tier
2025-10-10,C1143,Smartphone,661.9,3.0,SAVE15,Toronto,15,1985.6999999999998,297.85499999999996,1687.8449999999998,325,Toronto,City,Single-tier
2025-09-05,C1105,Coffee Maker,88.68,2.0,SAVE10,Brampton,10,177.36,17.736,159.62400000000002,360,Brampton,City,Lower-tier
2026-05-03,C1126,Coffee Maker,95.71,2.0,FREESHIP,Brampton,0,191.42,0.0,191.42,120,Brampton,City,Lower-tier
2025-08-15,C1104,Laptop,964.92,1.0,SAVE15,Hamilton,15,964.92,144.738,820.182,381,Hamilton,City,Single-tier
2026-04-30,C1142,Smartphone,630.96,5.0,SAVE15,London,15,3154.8,473.22,2681.58,123,London,City,Single-tier
2025-12-27,C1117,Backpack,50.1,5.0,SAVE15,Ottawa,15,250.5,37.574999999999996,212.925,247,Ottawa,City,Single-tier
2025-05-04,C1050,Smartphone,688.43,3.0,SAVE20,London,20,2065.29,413.058,1652.232,484,London,City,Single-tier
2025-07-09,C1050,Wireless Mouse,28.32,5.0,FREESHIP,Hamilton,0,141.6,0.0,141.6,418,Hamilton,City,Single-tier
2026-08-27,C1135,Hoodie,50.81,4.0,SAVE15,Ottawa,15,203.24,30.486,172.75400000000002,4,Ottawa,City,Single-tier
2025-08-21,C1093,Wireless Mouse,29.02,2.0,SAVE15,Kitchener,15,58.04,8.706,49.334,375,Kitchener,City,Lower-tier
2026-07-01,C1033,Smartphone,762.0,1.0,FREESHIP,Ottawa,0,762.0,0.0,762.0,61,Ottawa,City,Single-tier
2025-10-27,C1033,Laptop,868.17,1.0,WELCOME10,Brampton,10,868.17,86.81700000000001,781.353,308,Brampton,City,Lower-tier
2025-10-19,C1121,Wireless Mouse,30.1,1.0,WELCOME10,Brampton,10,30.1,3.0100000000000002,27.09,316,Brampton,City,Lower-tier
2025-02-22,C1065,Desk Lamp,41.61,3.0,SAVE20,Brampton,20,124.83,24.966,99.864,555,Brampton,City,Lower-tier
2026-05-19,C1019,Wireless Mouse,29.17,1.0,NONE,Toronto,0,29.17,0.0,29.17,104,Toronto,City,Single-tier
2025-11-08,C1022,Keyboard,65.65,2.0,WELCOME10,Hamilton,10,131.3,13.130000000000003,118.17000000000002,296,Hamilton,City,Single-tier
2025-08-20,C1134,Wireless Mouse,32.76,5.0,NONE,Mississauga,0,163.79999999999998,0.0,163.79999999999998,376,Mississauga,City,Lower-tier
2026-08-26,C1110,Desk Lamp,38.0,4.0,SAVE15,Ottawa,15,152.0,22.8,129.2,5,Ottawa,City,Single-tier
2025-04-12,C1054,Water Bottle,24.98,5.0,SAVE10,Hamilton,10,124.9,12.490000000000002,112.41,506,Hamilton,City,Single-tier
2025-09-03,C1045,Smartphone,672.11,1.0,SAVE20,Waterloo,20,672.11,134.422,537.688,362,Waterloo,City,Lower-tier
2026-04-07,C1121,Keyboard,57.41,1.0,NONE,Ottawa,0,57.41,0.0,57.41,146,Ottawa,City,Single-tier
2025-10-17,C1117,Laptop,816.63,2.0,SAVE15,Waterloo,15,1633.26,244.98899999999998,1388.271,318,Waterloo,City,Lower-tier
2026-08-27,C1051,Running Shoes,122.62,2.0,SAVE15,Mississauga,15,245.24,36.786,208.454,4,Mississauga,City,Lower-tier
2025-06-02,C1069,Wireless Mouse,30.01,5.0,SAVE20,Kitchener,20,150.05,30.010000000000005,120.04,455,Kitchener,City,Lower-tier
2025-11-11,C1146,Wireless Mouse,27.3,1.0,SAVE20,Ottawa,20,27.3,5.460000000000001,21.84,293,Ottawa,City,Single-tier
2025-11-08,C1104,Desk Lamp,38.22,1.0,NONE,Ottawa,0,38.22,0.0,38.22,296,Ottawa,City,Single-tier
2025-09-14,C1007,Backpack,47.39,3.0,WELCOME10,Waterloo,10,142.17000000000002,14.217000000000002,127.95300000000002,351,Waterloo,City,Lower-tier
2025-01-22,C1069,Headphones,74.31,5.0,WELCOME10,Toronto,10,371.55,37.155,334.395,586,Toronto,City,Single-tier
2026-03-29,C1072,Keyboard,59.86,4.0,WELCOME10,Kitchener,10,239.44,23.944000000000003,215.49599999999998,155,Kitchener,City,Lower-tier
2026-05-19,C1024,Water Bottle,27.42,4.0,FREESHIP,Brampton,0,109.68,0.0,109.68,104,Brampton,City,Lower-tier
2025-11-25,C1027,USB Cable,14.22,4.0,SAVE15,Kitchener,15,56.88,8.532,48.348,279,Kitchener,City,Lower-tier
2026-05-23,C1074,USB Cable,15.51,4.0,FREESHIP,Mississauga,0,62.04,0.0,62.04,100,Mississauga,City,Lower-tier
2025-04-01,C1081,Coffee Maker,94.7,1.0,NONE,Ottawa,0,94.7,0.0,94.7,517,Ottawa,City,Single-tier
2026-06-11,C1001,USB Cable,14.2,1.0,NONE,Brampton,0,14.2,0.0,14.2,81,Brampton,City,Lower-tier
2026-06-15,C1093,Backpack,52.27,1.0,SAVE20,Brampton,20,52.27,10.454,41.816,77,Brampton,City,Lower-tier
2025-07-28,C1069,Running Shoes,116.82,4.0,SAVE10,Kitchener,10,467.28,46.728,420.55199999999996,399,Kitchener,City,Lower-tier
2026-05-12,C1032,Smartphone,718.51,4.0,FREESHIP,Toronto,0,2874.04,0.0,2874.04,111,Toronto,City,Single-tier
2025-06-12,C1080,Running Shoes,123.19,5.0,SAVE20,Toronto,20,615.95,123.19000000000001,492.76000000000005,445,Toronto,City,Single-tier
2025-08-19,C1030,Coffee Maker,90.63,4.0,SAVE10,Brampton,10,362.52,36.252,326.268,377,Brampton,City,Lower-tier
2025-10-26,C1131,Wireless Mouse,27.53,2.0,NONE,Ottawa,0,55.06,0.0,55.06,309,Ottawa,City,Single-tier
2025-09-07,C1117,Backpack,53.34,4.0,NONE,Kitchener,0,213.36,0.0,213.36,358,Kitchener,City,Lower-tier
2026-06-05,C1035,Backpack,48.2,2.0,WELCOME10,Waterloo,10,96.4,9.64,86.76,87,Waterloo,City,Lower-tier
2026-06-04,C1069,Smartphone,656.1,4.0,SAVE15,Toronto,15,2624.4,393.66,2230.7400000000002,88,Toronto,City,Single-tier
2026-08-17,C1126,Smartphone,635.7,3.0,WELCOME10,Kitchener,10,1907.1000000000001,190.71000000000004,1716.39,14,Kitchener,City,Lower-tier
2025-12-20,C1086,Desk Lamp,40.72,5.0,NONE,Mississauga,0,203.6,0.0,203.6,254,Mississauga,City,Lower-tier
2025-09-02,C1147,Desk Lamp,41.41,3.0,SAVE20,Mississauga,20,124.22999999999999,24.846,99.38399999999999,363,Mississauga,City,Lower-tier
2025-11-22,C1122,Headphones,72.26,4.0,SAVE10,Mississauga,10,289.04,28.904000000000003,260.136,282,Mississauga,City,Lower-tier
2025-02-07,C1033,Backpack,50.11,2.0,NONE,London,0,100.22,0.0,100.22,570,London,City,Single-tier
2026-06-23,C1117,Wireless Mouse,28.35,4.0,SAVE10,Toronto,10,113.4,11.340000000000002,102.06,69,Toronto,City,Single-tier
2025-06-08,C1020,Hoodie,56.59,2.0,NONE,Brampton,0,113.18,0.0,113.18,449,Brampton,City,Lower-tier
2025-11-21,C1125,Running Shoes,124.57,5.0,NONE,Toronto,0,622.8499999999999,0.0,622.8499999999999,283,Toronto,City,Single-tier
2025-10-22,C1059,Water Bottle,24.42,1.0,SAVE20,Waterloo,20,24.42,4.884,19.536,313,Waterloo,City,Lower-tier
2025-04-13,C1114,Backpack,54.36,1.0,FREESHIP,Kitchener,0,54.36,0.0,54.36,505,Kitchener,City,Lower-tier
2025-02-17,C1084,Hoodie,51.0,3.0,SAVE10,Toronto,10,153.0,15.3,137.7,560,Toronto,City,Single-tier
2026-03-18,C1038,Smartphone,677.74,3.0,SAVE15,Hamilton,15,2033.22,304.983,1728.237,166,Hamilton,City,Single-tier
2025-07-04,C1044,Coffee Maker,83.03,4.0,WELCOME10,Kitchener,10,332.12,33.212,298.908,423,Kitchener,City,Lower-tier
2025-09-04,C1128,Wireless Mouse,32.54,5.0,NONE,Kitchener,0,162.7,0.0,162.7,361,Kitchener,City,Lower-tier
2025-09-18,C1118,Headphones,86.03,4.0,FREESHIP,Ottawa,0,344.12,0.0,344.12,347,Ottawa,City,Single-tier
2025-10-22,C1140,Running Shoes,114.18,1.0,NONE,Kitchener,0,114.18,0.0,114.18,313,Kitchener,City,Lower-tier
2026-08-25,C1077,Wireless Mouse,30.95,4.0,SAVE15,Mississauga,15,123.8,18.57,105.22999999999999,6,Mississauga,City,Lower-tier
2025-11-06,C1051,Hoodie,58.48,3.0,NONE,Mississauga,0,175.44,0.0,175.44,298,Mississauga,City,Lower-tier
2026-01-26,C1147,Desk Lamp,40.43,1.0,SAVE20,London,20,40.43,8.086,32.344,217,London,City,Single-tier
2025-10-30,C1006,Water Bottle,25.14,3.0,FREESHIP,Mississauga,0,75.42,0.0,75.42,305,Mississauga,City,Lower-tier
2025-02-20,C1128,Smartphone,663.85,1.0,WELCOME10,Ottawa,10,663.85,66.385,597.465,557,Ottawa,City,Single-tier
2025-08-13,C1049,Headphones,73.48,5.0,SAVE15,Ottawa,15,367.40000000000003,55.11000000000001,312.29,383,Ottawa,City,Single-tier
2025-04-10,C1011,Running Shoes,129.52,2.0,FREESHIP,Ottawa,0,259.04,0.0,259.04,508,Ottawa,City,Single-tier
2026-01-09,C1034,Desk Lamp,43.19,1.0,WELCOME10,Waterloo,10,43.19,4.319,38.870999999999995,234,Waterloo,City,Lower-tier
2026-03-02,C1045,Smartphone,718.62,3.0,FREESHIP,Hamilton,0,2155.86,0.0,2155.86,182,Hamilton,City,Single-tier
2026-06-28,C1129,Keyboard,58.06,5.0,SAVE15,Ottawa,15,290.3,43.545,246.755,64,Ottawa,City,Single-tier
2025-10-30,C1087,Keyboard,58.18,3.0,NONE,Waterloo,0,174.54,0.0,174.54,305,Waterloo,City,Lower-tier
2025-08-20,C1102,Desk Lamp,41.8,1.0,SAVE20,London,20,41.8,8.36,33.44,376,London,City,Single-tier
2025-09-28,C1138,Wireless Mouse,32.37,4.0,SAVE10,Waterloo,10,129.48,12.948,116.53199999999998,337,Waterloo,City,Lower-tier
2025-09-26,C1150,Desk Lamp,43.09,3.0,FREESHIP,Mississauga,0,129.27,0.0,129.27,339,Mississauga,City,Lower-tier
2025-08-28,C1121,Running Shoes,126.71,3.0,SAVE10,Toronto,10,380.13,38.013,342.117,368,Toronto,City,Single-tier
2025-08-15,C1017,Water Bottle,25.7,5.0,SAVE15,Brampton,15,128.5,19.275,109.225,381,Brampton,City,Lower-tier
2026-02-23,C1030,Hoodie,50.42,3.0,FREESHIP,Kitchener,0,151.26,0.0,151.26,189,Kitchener,City,Lower-tier
2026-05-20,C1030,Laptop,839.08,1.0,SAVE15,Waterloo,15,839.08,125.862,713.2180000000001,103,Waterloo,City,Lower-tier
2026-02-02,C1117,Headphones,86.37,5.0,SAVE20,London,20,431.85,86.37,345.48,210,London,City,Single-tier
2026-08-25,C1040,Running Shoes,122.54,5.0,NONE,Mississauga,0,612.7,0.0,612.7,6,Mississauga,City,Lower-tier
